Channel_1,Channel_2,Channel_3,Channel_4
814.7253,790.9524,799.011,809.4872
809.89014,796.1905,795.78754,801.8315
792.5641,793.36993,796.99634,793.7729
790.14655,797.8022,795.78754,796.1905
800.6227,795.78754,792.96704,795.38464
802.23444,798.60803,791.3553,805.8608
802.23444,796.1905,791.3553,801.8315
796.5934,795.38464,792.1612,788.1319
802.23444,797.3993,791.75824,786.1172
802.6374,797.3993,792.96704,802.6374
791.75824,798.20514,795.38464,800.6227
791.75824,793.36993,796.5934,785.31134
786.9231,790.54944,800.6227,790.14655
794.9817,788.5348,798.20514,796.1905
787.72894,794.57874,801.8315,799.41394
785.7143,802.6374,799.011,798.60803
776.4469,802.6374,793.36993,782.49084
776.4469,805.4579,796.99634,779.2674
779.67035,802.23444,799.81683,786.1172
763.95605,793.36993,795.78754,787.326
797.8022,796.99634,792.96704,788.1319
780.4762,794.9817,796.99634,796.1905
792.96704,795.78754,800.6227,796.1905
780.4762,797.8022,799.81683,790.54944
777.6557,796.1905,797.3993,788.5348
779.2674,790.9524,796.99634,787.72894
766.77655,795.78754,795.78754,785.31134
785.31134,793.7729,794.17584,783.2967
779.67035,799.011,796.5934,786.52014
784.10254,795.78754,795.38464,786.1172
778.86444,790.9524,795.38464,796.1905
791.75824,797.3993,796.1905,785.7143
768.7912,791.75824,794.9817,794.17584
797.3993,796.99634,795.38464,790.14655
792.1612,792.1612,795.38464,795.38464
774.83514,787.326,796.5934,793.7729
779.2674,794.57874,798.20514,792.5641
774.83514,793.7729,794.17584,796.1905
778.0586,792.1612,791.75824,788.93774
782.49084,795.78754,792.1612,780.87915
790.9524,799.41394,793.7729,790.9524
787.326,799.41394,794.57874,786.1172
779.67035,799.81683,796.1905,785.7143
785.7143,792.5641,792.1612,786.52014
794.57874,797.3993,795.78754,793.7729
801.4286,791.75824,795.78754,795.38464
790.9524,790.14655,796.1905,796.1905
790.14655,794.57874,800.6227,787.72894
785.31134,794.9817,799.011,788.1319
799.41394,796.5934,798.60803,803.8461
803.8461,794.57874,799.011,821.1722
816.7399,796.99634,798.20514,810.696
801.4286,795.38464,796.99634,794.57874
797.8022,790.14655,801.02563,802.6374
795.78754,784.5055,802.23444,807.8755
816.7399,792.96704,802.23444,819.15753
818.7546,793.36993,798.60803,826.4103
815.5311,793.36993,799.41394,817.9487
815.5311,795.78754,802.23444,815.12823
811.50183,792.1612,800.6227,823.1868
828.4249,784.90845,793.7729,823.1868
831.2454,789.34064,796.1905,801.02563
815.9341,796.99634,803.44324,813.5165
819.15753,795.78754,801.4286,815.12823
811.50183,794.9817,798.20514,814.7253
811.0989,794.57874,793.7729,807.47253
821.5751,796.5934,798.20514,822.381
811.50183,798.20514,796.99634,802.23444
814.3223,801.02563,796.99634,809.4872
806.6667,799.41394,796.99634,811.0989
811.9048,799.41394,794.57874,809.0842
842.52747,809.4872,794.9817,821.1722
840.10986,810.293,808.2784,833.2601
805.8608,799.81683,809.0842,815.9341
791.3553,789.34064,795.78754,798.20514
806.26373,784.10254,804.65204,813.5165
809.0842,786.9231,814.3223,811.50183
792.96704,788.5348,813.5165,798.60803
799.011,789.7436,814.7253,812.71063
811.50183,791.3553,819.9634,828.022
795.78754,791.3553,819.15753,807.0696
803.8461,788.5348,820.3663,818.3516
798.20514,788.1319,819.5604,809.89014
805.4579,783.69965,817.9487,822.7839
809.4872,784.5055,816.7399,830.4396
821.5751,788.1319,813.91943,821.1722
809.4872,792.96704,808.68134,817.9487
792.1612,789.34064,804.2491,815.5311
799.81683,789.34064,803.44324,809.0842
810.696,791.3553,804.65204,811.9048
815.12823,792.5641,809.4872,806.26373
803.44324,792.5641,812.71063,823.5897
799.41394,799.41394,803.8461,792.5641
805.8608,797.3993,804.65204,803.0403
797.8022,796.5934,807.0696,820.3663
809.89014,792.96704,802.6374,807.47253
803.0403,793.7729,803.0403,807.8755
795.78754,797.3993,805.4579,797.3993
796.1905,796.5934,807.0696,795.78754
796.99634,797.3993,808.2784,814.7253
796.5934,795.38464,805.8608,810.293
805.4579,794.9817,803.0403,801.4286
805.05493,796.99634,800.2198,807.8755
799.41394,793.7729,801.4286,811.0989
803.8461,790.54944,804.2491,807.47253
809.0842,794.17584,806.6667,809.0842
811.9048,797.8022,805.05493,810.696
814.7253,796.1905,802.6374,809.0842
835.6777,796.5934,803.8461,816.337
832.8571,793.7729,797.8022,818.7546
811.9048,794.57874,793.7729,809.89014
812.71063,801.4286,796.5934,804.65204
811.9048,798.60803,792.5641,799.41394
812.3077,793.7729,794.9817,802.23444
816.337,794.9817,800.6227,812.71063
809.89014,792.5641,800.2198,821.5751
804.2491,794.17584,805.05493,811.9048
803.44324,795.38464,805.05493,793.36993
803.44324,792.5641,805.05493,799.011
799.011,791.3553,802.6374,805.05493
795.78754,794.57874,799.011,808.68134
802.23444,796.5934,799.41394,819.9634
794.17584,793.36993,796.99634,809.0842
787.72894,791.75824,799.011,795.38464
794.9817,790.54944,803.44324,802.23444
799.41394,794.57874,799.81683,802.6374
798.20514,799.81683,794.9817,799.41394
790.54944,800.2198,800.2198,796.1905
792.1612,795.78754,799.81683,794.17584
797.8022,795.78754,794.9817,797.8022
794.17584,793.36993,799.011,799.81683
798.60803,793.36993,797.8022,798.20514
790.9524,793.7729,793.36993,785.31134
789.7436,790.9524,793.36993,784.90845
791.75824,794.9817,796.99634,796.5934
782.0879,795.78754,797.3993,795.38464
786.52014,792.96704,796.1905,801.02563
794.9817,797.8022,800.2198,787.72894
796.5934,803.44324,802.6374,797.8022
790.54944,795.38464,798.20514,801.4286
795.78754,796.1905,801.4286,786.1172
798.60803,795.78754,801.02563,785.7143
781.28204,795.38464,796.1905,781.685
774.43225,791.3553,804.2491,777.25275
767.98535,796.1905,796.1905,767.5824
738.5714,802.6374,790.54944,737.76556
775.2381,788.1319,806.26373,778.86444
719.6337,796.5934,790.54944,714.7985
778.86444,797.3993,799.011,781.28204
714.3956,792.5641,792.5641,711.5751
701.50183,791.75824,798.20514,725.6777
704.3223,793.36993,801.8315,722.4542
670.87915,796.5934,774.43225,663.22345
684.17584,798.60803,780.07324,679.34064
693.8461,804.65204,784.5055,688.20514
687.8022,801.8315,787.72894,681.3553
675.31134,798.20514,784.90845,670.4762
683.7729,792.1612,789.7436,680.54944
697.47253,795.38464,800.2198,691.02563
701.0989,789.7436,794.17584,705.5311
724.87177,799.81683,797.3993,727.28937
732.52747,803.44324,792.96704,716.4103
722.4542,802.23444,787.326,711.978
725.2747,808.68134,778.86444,716.8132
754.2857,811.0989,774.83514,729.707
759.92676,806.26373,779.67035,746.2271
755.89746,798.20514,791.3553,770
768.7912,796.5934,799.41394,782.0879
787.326,797.8022,796.5934,771.6117
815.5311,804.65204,792.1612,795.78754
823.9927,812.3077,789.34064,801.4286
820.3663,809.0842,793.36993,797.8022
828.022,807.0696,799.41394,820.7692
826.0073,807.47253,799.81683,822.381
828.022,803.44324,799.81683,823.1868
838.49817,800.2198,797.3993,836.4835
839.304,803.8461,800.6227,849.7802
846.9597,801.4286,798.60803,835.2747
852.1978,796.5934,798.60803,857.8388
857.03296,793.7729,798.20514,844.94507
855.82416,798.20514,800.2198,855.0183
857.4359,801.8315,803.0403,875.56775
853.8095,801.4286,800.2198,828.4249
862.27106,800.2198,802.6374,851.39197
855.42126,800.6227,802.23444,829.6337
876.77655,798.20514,796.5934,850.989
856.63007,802.23444,806.6667,871.53845
868.315,796.1905,789.34064,842.9304
850.18317,794.17584,798.20514,851.79486
843.73627,792.5641,799.41394,835.6777
855.42126,792.5641,803.0403,865.4945
847.3626,796.1905,796.99634,840.5128
859.0476,792.5641,805.4579,846.1539
843.3333,789.34064,795.78754,836.8865
848.97437,788.5348,797.3993,841.31866
847.76556,787.326,803.0403,857.03296
846.9597,792.5641,799.011,837.28937
848.5714,799.81683,795.78754,852.6007
850.58606,797.8022,796.5934,869.92676
842.9304,801.8315,799.41394,807.0696
824.3956,796.5934,802.6374,828.022
847.76556,799.81683,803.8461,851.39197
855.82416,799.41394,807.47253,862.27106
828.022,793.36993,805.05493,856.2271
864.2857,798.20514,806.6667,832.4542
834.87177,792.5641,799.81683,811.9048
818.3516,790.9524,802.23444,849.3773
839.707,793.36993,804.2491,860.65936
831.2454,792.5641,805.05493,826.8132
826.0073,796.5934,798.60803,813.5165
827.2161,801.8315,798.60803,819.5604
823.5897,801.4286,802.6374,832.0513
816.337,797.8022,798.20514,815.5311
808.2784,795.78754,794.57874,805.4579
819.9634,796.5934,799.81683,839.304
825.6044,796.1905,798.20514,805.4579
826.8132,799.011,801.02563,824.7985
815.12823,796.5934,800.6227,833.663
826.0073,801.4286,799.81683,787.326
833.663,801.4286,800.6227,803.0403
820.3663,799.41394,796.1905,809.0842
807.47253,795.78754,793.7729,801.4286
809.4872,794.9817,800.6227,801.4286
824.7985,797.3993,803.8461,803.8461
803.0403,797.3993,800.6227,784.90845
810.293,804.2491,796.99634,783.2967
807.47253,804.65204,796.99634,791.75824
812.71063,802.23444,794.17584,798.20514
828.022,801.4286,801.02563,800.2198
803.8461,797.3993,802.6374,794.57874
775.2381,790.54944,795.38464,794.17584
813.91943,794.57874,801.8315,805.4579
784.5055,791.3553,793.7729,779.2674
804.2491,792.1612,793.7729,775.2381
815.5311,796.1905,799.011,811.0989
803.0403,799.011,800.2198,793.7729
802.6374,797.8022,795.78754,769.59705
817.5458,795.78754,793.7729,796.1905
808.2784,791.3553,796.99634,822.7839
805.8608,794.57874,800.6227,789.7436
797.3993,796.99634,802.6374,785.31134
809.89014,795.38464,802.23444,805.05493
