Channel_1,Channel_2,Channel_3,Channel_4
789.057766,800.458936,796.233373,793.842187
777.549505,803.714320,794.433939,783.374131
769.972116,806.234597,792.620514,777.803226
768.116823,807.602166,790.708094,778.302990
770.658217,807.786020,788.761842,781.548047
774.393912,807.177883,787.143120,782.837052
776.782193,806.618340,786.243155,780.546180
777.131087,806.939565,786.190998,777.203549
775.701166,808.012167,786.960339,775.789321
772.825772,808.372640,788.605872,776.060825
769.318133,806.406254,791.143814,775.878453
766.672211,802.324672,794.157129,775.123751
765.792957,798.796552,796.676591,775.856390
765.703758,799.062392,797.679437,778.397375
764.219397,803.997312,796.911691,779.567486
760.088537,810.963519,795.223082,776.193211
754.376534,815.691549,793.828311,769.327463
749.924114,815.547677,793.133524,763.684690
749.480723,811.379386,792.638407,763.148095
753.681600,806.515824,792.126318,767.589396
760.149412,803.938281,792.312518,773.678128
764.788773,804.102614,793.785270,777.800365
764.677237,805.166920,795.770744,778.253986
760.169692,805.129841,796.648641,775.618684
754.479526,803.741158,795.620762,771.711504
751.273286,802.420590,793.456880,768.278512
752.141203,802.447975,791.638793,766.413233
755.686859,803.505854,791.051601,766.582125
758.953026,804.203990,791.468200,768.541679
760.108561,803.788031,792.017225,771.232787
759.986886,802.824910,792.016466,773.350663
760.897164,802.152530,791.497396,774.386512
763.707293,801.714067,791.117940,774.958391
766.266313,800.848885,791.526625,775.966273
765.399448,799.436790,792.596847,777.526417
760.711769,798.214822,793.274278,778.762025
755.704852,797.996750,792.472834,778.528237
754.567130,799.045096,790.305903,776.404872
758.081932,801.186650,788.225712,773.125658
762.998797,803.945300,787.683323,770.025978
765.505058,806.379740,788.715789,768.172396
765.251199,807.322620,790.049703,768.204835
765.505455,806.190711,790.545798,770.488535
768.944805,803.485809,790.330683,774.400449
773.928626,800.446074,790.489047,777.613273
776.114135,798.319136,791.839192,777.700452
773.871036,797.830465,794.097961,775.461561
770.919218,798.965378,796.118323,775.507472
772.617152,801.055602,796.858969,781.611923
779.858713,803.054271,796.231594,791.429705
787.601797,803.768960,795.169015,797.824513
790.065773,802.240601,794.887976,796.574973
787.035335,798.607387,795.906532,791.426443
784.072647,794.730485,797.627549,790.063147
786.250923,793.206024,798.949144,795.882030
792.748514,795.051741,799.309199,805.199312
798.594524,798.449296,798.923952,812.053794
800.932163,800.193119,798.052268,813.884156
801.784252,798.625033,796.647048,812.018002
804.321335,795.225953,795.080455,808.522619
808.104280,793.216532,794.488559,804.588938
809.610582,794.428357,795.514759,801.408550
806.998705,797.701721,797.062055,800.406635
802.622407,800.495774,797.286504,801.830520
800.128367,801.583116,795.797829,803.988958
800.052876,801.652132,793.983156,804.428771
799.629132,801.777335,793.045784,801.944185
797.236384,802.377543,792.656131,797.902117
795.828718,803.833134,792.060527,795.792233
800.088190,806.937585,791.826740,798.673544
809.653656,811.518321,793.433102,806.040412
817.074839,814.904559,797.009489,813.158729
814.696374,813.308281,800.546298,814.539132
803.059790,805.640611,802.226321,808.871651
790.397973,795.398168,802.887270,800.257529
784.086640,788.009445,805.010736,794.448999
784.706408,786.400397,809.596172,794.409497
788.072334,789.296355,815.151210,798.991209
790.192125,793.169407,819.579390,804.391149
789.610068,795.092874,822.046695,806.986694
787.382091,794.088584,823.011137,806.319598
786.301270,790.958118,823.244827,805.576170
788.952827,787.581525,823.044773,808.130508
794.931787,785.969902,821.959273,813.501892
800.121440,787.027950,819.106153,817.521046
800.134970,789.782125,814.122077,816.640133
795.152453,792.133804,808.138747,811.453350
790.327812,792.760570,803.613765,805.742732
790.336748,792.281201,802.615250,802.553396
794.256125,792.494981,804.928554,801.619727
797.098926,794.557337,808.021714,800.623048
795.864477,797.835686,809.175183,798.629844
792.497244,800.394819,807.644449,797.401081
790.783989,800.701580,804.732402,798.564819
791.737960,799.048358,802.247128,800.469550
792.869039,797.262623,801.338244,799.723248
791.485494,796.940290,802.311007,795.795741
787.864077,798.081827,804.581572,792.165801
784.940820,799.468217,806.640113,792.211073
785.259862,800.015363,806.771057,795.403622
788.540801,799.467195,804.443561,798.580661
792.117909,798.084971,801.038054,799.824944
793.556395,796.330894,798.898145,799.682024
792.930497,794.991914,799.397994,799.296656
792.860450,794.947174,801.840178,799.139638
796.435640,796.243061,804.172095,799.710229
804.506907,797.711442,804.631815,801.958150
814.144667,798.122049,802.729298,805.873296
820.012365,797.649690,799.084900,809.041761
818.620650,797.629227,794.829931,807.964917
811.778845,798.729807,791.163715,801.835116
805.089625,799.923622,789.075880,794.714135
802.658040,799.683301,789.138306,792.682577
803.750517,797.845385,791.363015,797.821661
804.609100,795.721053,795.150816,805.255679
802.684083,794.493017,799.398310,807.338205
798.643097,794.117600,802.773755,801.453121
794.842228,793.962279,804.114961,793.040196
792.709632,793.944505,802.938799,790.106104
791.731530,794.420239,799.878094,795.065351
790.440039,795.100295,796.576242,802.691204
788.136522,794.913016,794.773874,805.869342
785.792606,793.432927,795.073425,802.460678
785.090775,791.980517,796.454366,796.149204
786.350333,792.548979,797.213441,791.472143
787.878198,795.528078,796.573728,789.548570
787.902542,798.963399,795.250746,788.886954
786.696662,800.348669,794.397469,788.550598
786.068123,798.930602,794.307572,788.790486
786.982006,796.067701,794.285549,789.115655
788.392044,793.638071,793.505940,787.770593
788.425053,792.490715,791.875332,784.074080
786.236872,792.317303,790.206422,780.214736
782.697988,792.534411,789.567464,779.344571
779.709851,793.045999,790.408503,782.062663
778.921411,794.249893,792.333740,785.869721
780.665305,796.348056,794.552001,788.078076
783.902563,798.641179,796.346021,788.154991
787.242878,799.761710,797.309630,787.026345
789.695261,798.880448,797.477521,785.256677
790.120774,796.577716,797.218354,782.454074
786.673669,794.379622,796.825790,777.616037
778.018383,793.521605,796.228542,769.776101
765.489352,794.091967,795.198807,759.377517
753.415970,795.156833,793.771256,749.238559
746.278937,795.715963,792.322012,742.516365
744.596178,795.508204,791.381314,738.615660
743.389882,794.750930,791.494070,732.574584
735.649735,793.487289,792.694367,720.975766
718.607030,791.860365,793.532218,708.761636
696.958358,790.868319,791.385471,707.494073
679.430529,792.005791,785.092720,724.499573
671.678221,795.725023,777.140292,754.717804
672.058112,800.412160,771.943550,784.624674
674.057025,803.201331,771.811072,802.074083
673.082816,802.133196,775.535366,800.742163
670.921300,797.787770,780.687145,779.701922
673.236096,792.905731,785.878243,745.045129
682.998522,790.399610,790.497984,710.581859
697.067175,791.576103,793.352196,689.940000
709.328415,795.881740,792.446836,685.719630
716.734648,801.799413,786.454654,689.735419
721.616119,807.539588,776.798664,694.407425
727.899917,811.036530,768.237001,700.441350
736.370147,810.378824,766.262793,712.602642
745.294546,805.451314,772.600870,731.357166
754.837766,799.163743,783.057512,751.201764
767.937818,795.988273,790.643756,766.323442
785.817615,798.409306,791.530356,775.796582
804.622994,804.713978,787.981074,782.873449
818.248361,810.480447,785.427970,790.782196
823.982474,812.300800,787.066181,800.283882
824.444213,810.141841,791.551383,810.415247
824.500556,806.508934,795.386574,820.150477
827.282900,803.792239,796.564954,828.925945
832.953023,802.379594,795.676133,836.260086
840.030488,800.963435,794.376515,841.986627
846.940582,798.506071,793.737068,847.089315
852.450555,795.774864,793.966266,853.052846
855.637400,794.645298,794.877894,859.292090
856.353725,795.919904,796.160914,862.106357
855.841803,798.359066,797.444182,858.188417
856.338433,800.075177,798.394716,849.629808
859.381732,800.375569,798.706827,843.593711
864.105880,799.809148,797.989643,845.407883
867.366039,798.799523,796.006948,852.758652
866.159748,797.020407,793.339817,858.367937
860.458960,794.326764,791.534406,858.121118
853.653877,791.678381,791.930866,854.613944
849.767770,790.417100,794.181328,852.331042
849.920806,790.594186,796.391621,851.722264
851.653304,790.580111,796.962201,849.928558
851.830950,788.770463,796.040728,846.079350
849.904322,785.590780,795.006672,843.450002
848.021071,783.474784,794.704428,845.793927
848.141160,784.669678,794.542861,852.355488
849.488108,789.070232,793.568643,857.117329
849.170313,794.257225,792.118370,853.897000
845.515826,797.612533,791.830505,843.554626
840.582180,798.306865,793.953802,835.359386
838.596149,797.351815,797.969004,838.090931
841.508526,796.126060,801.895396,849.274527
846.596595,795.120995,803.775716,856.781646
848.824771,793.903483,803.052732,852.762342
845.418644,791.933472,800.880903,842.670360
838.262023,789.405583,799.102664,837.580300
832.011035,787.479960,798.643307,840.128090
829.694952,787.616816,798.866446,842.528478
830.173816,790.352194,798.580291,837.829735
829.841050,794.505495,797.379635,828.066630
826.308151,797.742000,795.698889,819.895574
820.457090,798.298226,793.984759,816.541032
815.554494,796.359790,792.484980,816.772401
814.413441,793.728067,791.670225,818.805033
817.012131,792.229767,792.137867,821.679379
820.932843,792.562513,793.869853,823.500372
824.009381,794.351131,795.836345,821.248705
825.725979,796.668558,796.528468,813.893673
826.007678,798.310715,795.115112,804.871202
824.232579,798.162470,792.412945,799.570284
820.396708,796.010255,790.632475,799.781318
815.972974,793.100684,791.523245,801.697863
812.430598,791.530327,794.401451,799.943571
809.950145,792.738603,796.458248,793.112572
808.649397,796.370198,795.541639,785.205577
809.639528,800.440808,792.474619,781.813541
812.983474,802.628801,790.224448,784.925771
815.411255,801.676802,790.809355,791.433315
812.541370,797.949422,793.306792,796.296436
804.081782,792.997177,794.962507,796.570691
795.225007,788.673756,794.036967,792.810521
791.862689,786.404554,791.411930,787.929632
795.223856,786.789076,789.497042,784.881169
801.690402,789.345200,789.680574,784.336856
806.897689,792.448500,790.957840,784.690856
809.174951,794.051763,791.261227,785.167584
809.387764,793.224999,790.063023,787.577313
808.736241,791.100552,789.144765,793.123639
807.736862,789.796856,790.538735,798.883271
806.720534,790.154732,794.082312,799.790262
805.793121,790.904450,797.320690,793.612537
804.342919,790.442418,797.678887,783.180246
802.021371,789.148286,794.688453,774.860801
800.308089,789.248595,790.445720,774.813408
801.568994,792.122658,788.046610,784.622858
805.875691,796.285848,789.142677,799.505234
809.678611,798.716167,792.629159,811.088211
808.660831,798.044576,795.818205,812.428561
802.229378,795.741005,796.968393,802.086492
794.937410,794.123958,796.506869,785.718415
792.756442,794.006237,796.007522,773.291716
797.269330,794.623555,796.509941,771.934557
803.731570,795.148181,797.835898,780.424863
805.758969,795.578248,799.102526,791.523977
802.086767,796.291880,799.731398,799.237716
797.683572,797.227088,799.958160,802.429775
797.805920,797.801467,800.201772,802.253071
802.071022,797.691073,800.052454,798.811532
805.215546,797.407414,798.517167,791.680619
803.079060,797.729262,795.661005,782.862354
796.952333,798.717622,793.491606,777.724421
791.954444,799.778529,794.302169,781.429212
791.602356,800.583090,797.882911,793.147164
794.493699,801.300816,801.073627,804.434468
796.643605,801.906530,800.865729,805.937321
796.647140,801.956508,797.812497,797.150673
797.179571,801.321090,795.576020,787.979367
800.797213,800.596869,796.934464,788.752260
805.823927,800.383875,800.964358,799.314155
807.974017,800.423035,804.433819,809.612470
805.090230,799.835569,805.076823,810.686738
798.670874,798.223694,802.817035,803.145967
791.425433,796.314975,798.674048,794.698856
785.263671,795.362811,793.922869,791.844154
781.904196,795.876998,790.292899,795.106179
783.386494,796.943009,789.452806,800.037990
789.827579,796.862212,791.294131,801.166573
796.993894,794.712977,793.417891,796.614384
798.690440,791.488652,793.461729,790.127848
793.173782,789.536880,791.845889,787.232357
785.936952,790.533565,791.252441,788.930844
784.412494,793.923333,793.225122,790.885563
790.358491,797.478729,796.239572,789.202658
798.594546,799.352169,797.682153,785.349317
802.602151,799.426817,796.908656,784.645481
800.091792,798.765356,795.348975,790.687692
793.600772,798.115700,794.029243,801.562363
787.516927,797.273474,792.367471,811.054462
785.240191,795.885927,789.807521,813.342102
787.743916,794.405392,787.508816,807.193458
792.846951,793.658744,787.324239,796.999597
795.881860,793.543444,789.441934,790.182405
793.191296,792.920145,792.030164,791.682687
786.168979,791.143261,793.215414,798.783424
780.516518,789.069996,792.679476,802.314103
780.005108,787.989114,791.422473,795.953085
781.577188,787.969526,790.776682,784.531470
778.171959,787.998481,791.678761,780.258308
766.911588,787.670571,794.177909,789.783590
753.879716,787.966435,797.392686,806.772270
749.708575,789.913542,800.243055,817.656915
759.255786,792.785719,802.330566,813.863470
775.479482,794.287472,803.865345,799.234775
785.106533,792.960492,804.600495,786.509582
781.732464,790.177454,803.282245,785.822943
772.297894,789.022453,798.940505,795.926573
769.049958,790.967915,792.822578,806.222372
776.174360,794.273565,788.154332,806.247354
786.599737,795.980390,787.323061,793.596418
791.228530,794.867785,789.689464,775.516237
788.138812,792.122536,792.649636,764.043446
782.125051,789.885775,794.383844,767.023574
778.329625,789.726782,794.942627,781.300660
778.370340,791.864753,795.048857,795.185554
780.937478,795.166440,794.753027,799.015357
783.809798,798.159428,793.460041,793.254137
785.456860,800.132242,790.911689,786.251160
786.095924,800.676871,787.972651,785.401980
787.474259,798.676373,786.195733,790.919321
790.932765,793.520858,786.104815,796.479222
795.528888,787.500077,786.201868,794.894521
798.680490,784.806864,784.916010,784.815680
799.123238,786.981563,783.692203,773.490115
798.896848,790.828576,786.271980,771.716604
801.369752,792.119797,793.537982,783.853049
806.737921,790.405936,800.459597,802.617129
810.766333,789.075362,800.384020,815.193041
809.764128,791.286947,792.379444,814.948870
805.913768,796.806692,782.731337,806.364570
804.933383,802.609535,778.735204,799.024634
808.467436,805.854834,782.037834,798.890301
811.833882,806.135376,788.343760,805.146444
810.298536,805.127878,792.427553,812.362069
805.094982,804.374638,792.606810,814.821020
801.747042,803.779060,791.046344,811.202568
803.955686,802.442365,790.787305,805.527083
810.342234,800.432328,792.682996,801.622836
816.081571,798.895139,794.875647,797.752242
816.731021,798.450376,795.067378,789.906383
811.601319,798.369587,793.168612,779.708886
804.581897,797.738061,791.424975,775.238374
800.731874,796.752076,791.946655,783.023707
801.034054,796.258567,794.608408,801.100252
801.686938,796.426981,797.481499,819.700153
799.638981,796.591473,798.623783,826.541798
797.131071,796.334134,797.115875,813.134291
798.756192,796.129734,793.227478,782.034373
805.028231,796.711896,788.651761,750.582006
811.179743,798.056389,786.425785,742.185552
812.381895,799.276826,789.084605,766.946436
808.421921,799.662911,795.529086,810.004022
802.694967,799.605354,800.457418,842.715534
797.893308,799.983874,799.011340,847.185402
794.003872,800.671038,792.418863,829.077147
790.341502,800.438739,787.366835,807.826426
787.977617,798.647656,789.002936,798.607672
788.808459,796.257759,795.718644,804.482127
792.446941,794.626015,801.599683,819.751531
795.406815,793.853095,803.014431,835.170534
794.389969,793.007930,801.584418,842.078904
790.145695,791.818724,801.001792,836.695527
787.027631,791.412832,802.415325,821.875217
788.269632,792.956202,803.867770,804.941966
792.381331,795.826623,803.631609,794.747074
794.895645,797.775610,802.658454,797.914535
793.248762,797.224097,803.023309,811.848308
788.975000,795.012893,804.683320,821.018920
785.165834,793.321263,805.190757,808.130195
783.163879,793.052902,802.936364,774.724210
782.575691,793.033983,799.432854,745.641976
783.429391,791.856016,797.580032,745.568133
786.761901,789.781061,798.444856,773.321086
792.823169,788.492172,800.449828,805.354460
799.354135,789.338700,801.354121,821.747820
802.448681,792.066180,800.655638,821.760433
800.039695,795.071732,800.012632,816.273844
794.834207,796.753160,801.066592,814.017047
792.781853,796.736655,802.964478,817.111418
797.439453,795.941319,803.013949,823.476900
805.783055,795.403281,800.437586,829.073687
810.202477,794.986203,798.647403,829.775292
805.379345,793.518118,802.367185,824.217857
794.127007,790.576696,812.102401,815.345489
786.504948,787.946956,822.361597,808.368761
791.610753,788.519296,826.310562,806.802418
808.680018,793.250636,822.111159,810.567595
826.208560,799.506254,814.153573,817.352953
830.830402,802.898586,808.424214,824.151370
818.498331,801.010899,807.478724,827.131589
798.127995,795.473081,809.547443,822.487082
784.019699,790.403575,811.249391,809.901649
783.542778,788.658293,810.770983,794.831730
791.854059,789.600717,808.971836,785.326601
798.529514,790.530409,807.851222,785.729812
798.105623,789.793493,808.215330,794.035791
793.259036,788.029500,809.060639,804.835528
789.330839,786.838028,808.881365,813.071566
788.482077,787.151409,806.995552,815.282093
789.685076,788.982058,803.882113,810.147037
792.045938,791.832400,801.083801,799.904558
795.679218,794.688945,800.719701,790.688711
799.480500,796.064797,803.960092,789.207028
800.353299,794.969336,809.348505,796.729983
796.333245,792.143581,813.285565,806.485193
789.943658,789.868898,813.010438,809.665571
786.928179,790.018858,809.135056,804.827762
790.942571,792.272638,804.947079,798.930961
799.570551,794.533799,803.264830,798.303120
805.827954,795.130230,804.157710,801.434635
804.107302,794.296140,805.646683,802.481665
795.116143,793.464408,806.129662,799.607082
785.024152,793.656668,805.562795,796.874325
779.912946,794.940425,804.530231,798.242050
781.268122,796.928391,803.286539,802.488177
786.266399,799.087726,802.158580,805.258301
791.265956,800.701125,801.967079,804.358091
794.529242,801.117998,803.248591,801.515439
796.197264,800.205120,805.229018,799.930673
796.799211,798.483644,805.941332,801.315194
796.601708,796.938872,803.725966,804.672062
796.199197,796.583839,799.085698,806.996997
796.768854,797.689115,794.983842,805.515421
799.016875,799.323864,794.706239,800.022896
801.890847,800.267807,799.107840,793.062548
802.814097,800.611408,805.842922,787.478745
799.816207,801.712083,811.071199,784.084658
793.798619,804.061879,812.143589,782.162401
788.358722,805.876892,809.333928,781.488802
786.796908,804.745177,805.296226,782.469333
789.302458,800.685527,802.700680,784.351954
793.229928,796.784210,802.273307,784.976021
795.595055,796.215311,802.891478,783.261398
794.830191,798.859209,803.097444,781.024844
790.971795,801.395461,802.392923,781.093860
785.688092,800.672754,801.564599,783.984349
782.281431,796.582445,802.069241,787.629318
783.845906,791.811352,804.574656,789.989456
789.744947,789.354784,807.442401,790.183439
794.598054,790.228841,807.032109,787.152559
792.817957,793.018040,800.739856,779.825243
784.512980,795.365767,790.321178,769.797754
775.319450,796.013556,781.472159,761.508660
770.106949,795.515255,779.211446,757.624255
768.742178,795.194703,783.659127,755.667983
768.655538,795.744249,790.573841,751.418270
769.242306,796.853787,795.524909,744.956593
771.848560,797.873861,797.018956,741.325659
776.506784,798.602698,796.201087,744.892243
780.669471,799.407375,794.788804,754.031408
781.708820,800.651115,793.693704,762.037261
780.089299,802.165808,792.959948,763.570602
779.225240,803.412273,792.358224,760.062947
781.683318,804.074785,791.928876,757.956060
786.017231,804.374445,792.005447,761.408017
788.232617,804.808767,792.709601,768.047074
786.212015,805.579426,793.602714,772.797713
781.965028,806.197280,794.099267,774.383689
779.744985,805.627528,794.210459,776.005024
782.517974,802.962307,794.648176,779.964011
789.662886,798.332244,796.051374,783.840303
797.151521,793.472886,798.125560,783.207847
800.326875,791.046790,799.667846,777.293702
797.647555,792.624465,799.615121,770.496199
792.108954,797.042396,798.172088,768.083355
788.631621,801.118143,796.858576,771.340968
789.823052,802.369764,797.288062,777.346901
794.283405,801.128454,799.750900,782.527115
798.795961,799.934490,802.977423,785.373874
801.657458,800.820918,805.340961,786.109098
803.502356,803.292360,806.203949,785.200936
805.079829,805.117831,805.943162,782.920273
805.181460,804.850445,804.887231,779.684328
801.782013,803.060636,802.828083,776.235592
795.134426,801.274051,799.800897,773.605386
788.546185,800.463235,796.789918,772.788599
785.334017,800.635865,795.073137,773.970273
785.568227,801.200161,795.027126,776.079511
786.580963,801.505657,796.010728,777.566687
786.315385,801.369286,797.265102,777.821107
785.247323,801.180320,798.433060,777.552724
784.997873,801.390112,799.281448,777.520579
786.020845,801.983036,799.591760,777.370907
787.294524,802.571254,799.638923,776.609432
787.935827,802.983923,800.299523,776.477310
788.490648,803.632134,802.146583,779.373547
790.437748,805.055666,804.524212,785.581406
794.433099,806.948078,805.918829,791.408845
799.073730,807.904520,805.381391,791.951479
801.658583,806.620515,803.437535,786.058729
800.407991,803.352134,801.440278,777.738281
795.865803,799.781684,800.064969,772.086207
790.215345,797.354669,798.732338,770.587268
785.487517,796.093608,796.757259,771.153620
782.199464,795.181177,794.845235,771.823798
779.375002,794.328764,794.902483,772.872676
776.136312,794.099802,798.035492,775.293363
773.413375,794.883646,802.844221,778.706464
773.552395,796.050036,806.020504,781.902510
777.910653,796.535134,804.968418,784.882519
785.057960,796.086213,800.061252,788.834987
