timestamp,channel_1,channel_2,channel_3,channel_4
1737030156013785.0,1.0,1.0,1.0,1.0
1737030156100466.0,1.0,1.0,1.0,1.0
1737030156207794.0,1.0,1.0,1.0,1.0
1737030156294696.0,1.0,1.0,1.0,1.0
1737030156381573.0,1.0,1.0,1.0,1.0
1737030156532302.0,1.0,1.0,1.0,1.0
1737030156641199.0,1.0,1.0,1.0,1.0
1737030156727439.0,1.0,1.0,1.0,1.0
1737030156815557.0,1.0,1.0,1.0,1.0
1737030156903621.0,1.0,1.0,1.0,1.0
1737030157011709.0,1.0,1.0,1.0,1.0
1737030157141655.0,1.0,1.0,1.0,1.0
1737030157227782.0,1.0,1.0,1.0,1.0
1737030157338271.0,1.0,1.0,1.0,1.0
1737030157426291.0,1.0,1.0,1.0,1.0
1737030157513751.0,1.0,1.0,1.0,1.0
1737030157599762.0,1.0,1.0,1.0,1.0
1737030157751273.0,1.0,1.0,1.0,1.0
1737030157837613.0,1.0,1.0,1.0,1.0
1737030157943497.0,1.0,1.0,1.0,1.0
1737030158028500.0,1.0,1.0,1.0,1.0
1737030158134421.0,1.0,1.0,1.0,1.0
1737030158220990.0,1.0,1.0,1.0,1.0
1737030158347457.0,1.0,1.0,1.0,1.0
1737030158454194.0,1.0,1.0,1.0,1.0
1737030158540558.0,1.0,1.0,1.0,1.0
1737030158646516.0,1.0,1.0,1.0,1.0
1737030158733495.0,1.0,1.0,1.0,1.0
1737030158839918.0,1.0,1.0,1.0,1.0
1737030158967301.0,1.0,1.0,1.0,1.0
1737030159052441.0,1.0,1.0,1.0,1.0
1737030159159521.0,1.0,1.0,1.0,1.0
1737030159246464.0,1.0,1.0,1.0,1.0
1737030159354555.0,1.0,1.0,1.0,1.0
1737030159441773.0,1.0,1.0,1.0,1.0
1737030159590368.0,1.0,1.0,1.0,1.0
1737030159677383.0,1.0,1.0,1.0,1.0
1737030159762487.0,1.0,1.0,1.0,1.0
1737030159850081.0,1.0,1.0,1.0,1.0
1737030159956400.0,1.0,1.0,1.0,1.0
1737030160065050.0,1.0,1.0,1.0,1.0
1737030160191750.0,1.0,1.0,1.0,1.0
1737030160278382.0,1.0,1.0,1.0,1.0
1737030160386703.0,1.0,1.0,1.0,1.0
1737030160472765.0,1.0,1.0,1.0,1.0
1737030160583607.0,1.0,1.0,1.0,1.0
1737030160649839.0,1.0,1.0,1.0,1.0
1737030160800424.0,1.0,1.0,1.0,1.0
1737030160887659.0,1.0,1.0,1.0,1.0
1737030160973242.0,1.0,1.0,1.0,1.0
1737030161082772.0,1.0,1.0,1.0,1.0
1737030161190708.0,1.0,1.0,1.0,1.0
1737030161256702.0,1.0,1.0,1.0,1.0
1737030161406642.0,1.0,1.0,1.0,1.0
1737030161513092.0,1.0,1.0,1.0,1.0
1737030161599699.0,1.0,1.0,1.0,1.0
1737030161686634.0,1.0,1.0,1.0,1.0
1737030161792398.0,1.0,1.0,1.0,1.0
1737030161877710.0,1.0,1.0,1.0,1.0
1737030162005704.0,1.0,1.0,1.0,1.0
1737030162112643.0,1.0,1.0,1.0,1.0
1737030162198880.0,1.0,1.0,1.0,1.0
1737030162305346.0,1.0,1.0,1.0,1.0
1737030162391005.0,1.0,1.0,1.0,1.0
1737030162476069.0,1.0,1.0,1.0,1.0
1737030162627253.0,1.0,1.0,1.0,1.0
